fiscalYear,fiscalYearType,appropriationType,account,agency,operatingUnit,category,sector,amount
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Asia Middle East Regional Office (USAID),Education and Social Services,Higher Education,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Asia Middle East Regional Office (USAID),Environment,Environment,1075000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Asia Middle East Regional Office (USAID),Health,Water Supply and Sanitation,1550000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Asia Middle East Regional Office (USAID),Program Management,Monitoring and Evaluation,1290000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,"Democracy, Human Rights, and Governance",Good Governance,1510000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Economic Development,Agriculture,925000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Economic Development,Infrastructure,907000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Economic Development,Private Sector Competitiveness,393000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Education and Social Services,Basic Education,2811000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Education and Social Services,Social Assistance,6000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Environment,Environment,2569000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Health,Maternal and Child Health,22000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Health,Water Supply and Sanitation,10000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Humanitarian Assistance,Disaster Readiness,32000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Humanitarian Assistance,"Protection, Assistance and Solutions",25000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Peace and Security,Transnational Crime,963000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bangladesh,Program Management,Monitoring and Evaluation,257000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Barbados and Eastern Caribbean (DOS & USAID),Economic Development,Private Sector Competitiveness,2369000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Barbados and Eastern Caribbean (DOS & USAID),Economic Development,Trade and Investment,1863000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Barbados and Eastern Caribbean (DOS & USAID),Environment,Environment,3270000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Barbados and Eastern Caribbean (DOS & USAID),Humanitarian Assistance,Disaster Readiness,698000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Benin,Education and Social Services,Basic Education,4036000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,"Democracy, Human Rights, and Governance",Civil Society,673000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,"Democracy, Human Rights, and Governance",Good Governance,2598000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,279000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,800000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,Economic Development,Agriculture,2605000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,Economic Development,Financial Sector,1020000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,Economic Development,Trade and Investment,125000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,Education and Social Services,Basic Education,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Bolivia,Environment,Environment,5700000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Brazil,Economic Development,Infrastructure,899000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Brazil,Economic Development,Private Sector Competitiveness,898000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Brazil,Economic Development,Trade and Investment,871000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Brazil,Environment,Environment,5230000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Brazil,Program Management,Monitoring and Evaluation,102000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Civil Society,11734000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Good Governance,2880000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,10440000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)","Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2720000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Agriculture,891000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Economic Opportunity,1831000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Financial Sector,555000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Infrastructure,879000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Private Sector Competitiveness,551000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Economic Development,Trade and Investment,493000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Education and Social Services,Higher Education,10800000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Education and Social Services,Social Services,13200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Health,Other Public Health Threats,8200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,Disaster Readiness,4800000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions",6700000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Conflict Mitigation and Reconciliation,9660000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Counterterrorism,440000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Peace and Security,Stabilization Operations and Security Sector Reform,1100000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Program Management,Monitoring and Evaluation,4750000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)","Democracy, Human Rights, and Governance",Good Governance,691000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)","Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2861000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Agriculture,52378000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Economic Opportunity,22951000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Financial Sector,2656000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Infrastructure,9396000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Macroeconomic Foundation for Growth,2171000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Private Sector Competitiveness,2525000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Economic Development,Trade and Investment,3812000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Education and Social Services,Basic Education,7787000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Education and Social Services,Higher Education,7735000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Education and Social Services,"Social Policies, Regulations, and Systems",500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Education and Social Services,Social Services,290000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Environment,Environment,35070000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Health,Water Supply and Sanitation,1400000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Peace and Security,Conflict Mitigation and Reconciliation,289000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Peace and Security,Transnational Crime,1300000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,"Bureau for Economic Growth, Education and Environment (USAID)",Program Management,Monitoring and Evaluation,1581000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,"Democracy, Human Rights, and Governance",Civil Society,469000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,"Democracy, Human Rights, and Governance",Good Governance,778000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,234000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Economic Development,Agriculture,423000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Economic Development,Private Sector Competitiveness,524000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Economic Development,Trade and Investment,223000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Education and Social Services,Basic Education,351000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Peace and Security,Conflict Mitigation and Reconciliation,373000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Burundi,Program Management,Monitoring and Evaluation,568000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,"Democracy, Human Rights, and Governance",Civil Society,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,"Democracy, Human Rights, and Governance",Good Governance,1834000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,425000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,Economic Development,Economic Opportunity,1227000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,Economic Development,Private Sector Competitiveness,2436000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,Education and Social Services,Basic Education,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Cambodia,Program Management,Monitoring and Evaluation,200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Caribbean Regional Office (USAID),Economic Development,Private Sector Competitiveness,2369000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Caribbean Regional Office (USAID),Economic Development,Trade and Investment,1863000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Caribbean Regional Office (USAID),Environment,Environment,3270000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Caribbean Regional Office (USAID),Humanitarian Assistance,Disaster Readiness,698000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Central Africa Regional Office (USAID),Environment,Environment,16000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Central America Regional Office (USAID),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2402000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Central America Regional Office (USAID),Economic Development,Agriculture,1100000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Central America Regional Office (USAID),Economic Development,Trade and Investment,4078000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Central America Regional Office (USAID),Environment,Environment,9895000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,China,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,China,Environment,Environment,1500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,China,Health,Water Supply and Sanitation,1500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Civil Society,1838000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Good Governance,3582000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,Economic Development,Agriculture,1609000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,Education and Social Services,Basic Education,7011000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,Education and Social Services,Social Services,2306000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,Health,Water Supply and Sanitation,1000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Democratic Republic of Congo,Program Management,Monitoring and Evaluation,719000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Development Grants Program,Economic Development,Trade and Investment,3066000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,"Democracy, Human Rights, and Governance",Good Governance,612000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,629000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,518000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Economic Development,Agriculture,4910000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Economic Development,Infrastructure,943000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Economic Development,Private Sector Competitiveness,2093000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Economic Development,Trade and Investment,2601000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Education and Social Services,Basic Education,2185000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Environment,Environment,2049000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Dominican Republic,Program Management,Monitoring and Evaluation,469000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,1562000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,1000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Economic Development,Agriculture,8651000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Economic Development,Financial Sector,390000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Economic Development,Infrastructure,2276000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Economic Development,Trade and Investment,3157000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Environment,Environment,800000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Health,Water Supply and Sanitation,500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Peace and Security,Conflict Mitigation and Reconciliation,793000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,East Africa Regional Office (USAID),Program Management,Monitoring and Evaluation,672000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ecuador,"Democracy, Human Rights, and Governance",Civil Society,5000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ecuador,"Democracy, Human Rights, and Governance",Good Governance,994000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ecuador,Economic Development,Private Sector Competitiveness,500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ecuador,Economic Development,Trade and Investment,501000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ecuador,Environment,Environment,6144000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,"Democracy, Human Rights, and Governance",Good Governance,200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1300000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Economic Development,Agriculture,1350000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Economic Development,Financial Sector,450000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Economic Development,Macroeconomic Foundation for Growth,525000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Economic Development,Trade and Investment,3925000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Education and Social Services,Basic Education,3534000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,El Salvador,Environment,Environment,2273000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,"Democracy, Human Rights, and Governance",Civil Society,595000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,991000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Economic Development,Agriculture,7245000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Economic Development,Private Sector Competitiveness,6832000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Economic Development,Trade and Investment,946000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Education and Social Services,Basic Education,6964000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Environment,Environment,1051000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Health,Water Supply and Sanitation,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Humanitarian Assistance,Disaster Readiness,989000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ethiopia,Program Management,Monitoring and Evaluation,197000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,"Democracy, Human Rights, and Governance",Good Governance,500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Agriculture,5351000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Financial Sector,400000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Infrastructure,100000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Macroeconomic Foundation for Growth,200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Private Sector Competitiveness,900000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Economic Development,Trade and Investment,1000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Ghana,Education and Social Services,Basic Education,7000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,"Democracy, Human Rights, and Governance",Good Governance,2508000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,583000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,Economic Development,Agriculture,5850000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,Economic Development,Private Sector Competitiveness,885000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,Economic Development,Trade and Investment,2100000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,Education and Social Services,Basic Education,3534000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guatemala,Environment,Environment,3005000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guinea,"Democracy, Human Rights, and Governance",Civil Society,2889000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guinea,"Democracy, Human Rights, and Governance",Good Governance,1640000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guinea,Environment,Environment,1000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,"Democracy, Human Rights, and Governance",Civil Society,940000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,"Democracy, Human Rights, and Governance",Good Governance,200000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,490000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,342000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,Economic Development,Agriculture,210000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,Economic Development,Private Sector Competitiveness,956000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,Economic Development,Trade and Investment,806000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Guyana,Program Management,Monitoring and Evaluation,56000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,"Democracy, Human Rights, and Governance",Civil Society,1285000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,"Democracy, Human Rights, and Governance",Good Governance,1347000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Economic Development,Agriculture,7000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Economic Development,Economic Opportunity,701000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Economic Development,Private Sector Competitiveness,3816000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Education and Social Services,Basic Education,5500000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Education and Social Services,Social Assistance,1750000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Environment,Environment,7791000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Haiti,Health,Water Supply and Sanitation,510000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,"Democracy, Human Rights, and Governance",Civil Society,279000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,"Democracy, Human Rights, and Governance",Good Governance,1730000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,439000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,Economic Development,Trade and Investment,1000000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,Education and Social Services,Basic Education,7828000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Honduras,Environment,Environment,4264000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,367000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Agriculture,2275000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Economic Opportunity,665000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Infrastructure,6942000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Macroeconomic Foundation for Growth,460000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Private Sector Competitiveness,575000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Economic Development,Trade and Investment,50000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Education and Social Services,Basic Education,1367000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Environment,Environment,2063000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,India,Health,Water Supply and Sanitation,912000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Indonesia,Education and Social Services,Basic Education,14942000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Indonesia,Environment,Environment,9181000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Indonesia,Health,Water Supply and Sanitation,4737000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Indonesia,Program Management,Monitoring and Evaluation,664000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Jamaica,"Democracy, Human Rights, and Governance",Civil Society,415000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Jamaica,Education and Social Services,Basic Education,2980000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Jamaica,Environment,Environment,2140000
2007,FY 2007 Actual Base,Base,Development Assistance,USAID and Department of State,Jamaica,Peace and Security,Stabilization Operations and Security Sector Reform,1271000
