description,familyMember,conflictingEntity,category,notes,dateChanged
"In a libel lawsuit against the British tabloid The Daily Mail, the First Lady&#39;s attorneys alleged that defamatory and unsubstantiated claims had damaged her &quot;unique, once-in-a-lifetime&quot; opportunity to leverage her high-profile position to boost her business profits. The statement stoked concerns over improper profiting from the White House. The Daily Mail later settled the lawsuit.",Melania Trump,"The Daily Mail",Resolved, "Because this lawsuit was settled, the potential conflict of interest is marked as &quot;resolved.&quot; Specific business holdings of Melania Trump remain marked as confirmed conflicts of interest.",07/05/2017
"In a libel lawsuit against the British tabloid The Daily Mail, the First Lady&#39;s attorneys alleged that defamatory and unsubstantiated claims had damaged her &quot;unique, once-in-a-lifetime&quot; opportunity to leverage her high-profile position to boost her business profits. The statement stoked concerns over improper profiting from the White House. The Daily Mail later settled the lawsuit.",Melania Trump,"The Daily Mail",Resolved, "Because this lawsuit was settled, the potential conflict of interest is marked as &quot;resolved.&quot; Specific business holdings of Melania Trump remain marked as confirmed conflicts of interest.",07/05/2017
"Pres. Trump reportedly resigned from any position with the Trust U/W/O Fred C. Trump- Tiffany Ariana Trump. His former position with the trust is not reported on his 2017 financial disclosure. The trust&#39;s current activity status and control structures also are not reported.",Donald Trump,"Trust U/W/O Fred C. Trump- Tiffany Ariana Trump",Active, "Although Trump has resigned as a trustee, it remains for the benefit of one of his immediate family members, and therefore is classified as &quot;confirmed.&quot;",07/05/2017
"More than 150 financial institutions hold debts connected to the President-elect, according to a Wall Street Journal analysis. Trump&#39;s business interests hold debt upwards of $650 million, owed in part to Bank of China and Goldman Sachs.",Donald Trump,"(Various)",Active, "",07/05/2017
"More than 150 financial institutions hold debts connected to the President-elect, according to a Wall Street Journal analysis. Trump&#39;s business interests hold debt upwards of $650 million, owed in part to Bank of China and Goldman Sachs.",Donald Trump,"(Various)",Active, "",07/05/2017
"More than 150 financial institutions hold debts connected to the President-elect, according to a Wall Street Journal analysis. Trump&#39;s business interests hold debt upwards of $650 million, owed in part to Bank of China and Goldman Sachs.",Donald Trump,"(Various)",Active, "",07/05/2017
"2 Indonesian resort projects with billionaire Hary Tanoesoedibjo as Trump’s local partner. Eric Lipton reported a potential conflict: Tanoesoedibjo “ran for vice president of Indonesia in 2014 and is organizing a political party for another possible run at national office in 2019.”",Donald Trump,"Tanoesoedibjo, Hary",Active, "",07/05/2017
"2 Indonesian resort projects with billionaire Hary Tanoesoedibjo as Trump’s local partner. Eric Lipton reported a potential conflict: Tanoesoedibjo “ran for vice president of Indonesia in 2014 and is organizing a political party for another possible run at national office in 2019.”",Donald Trump,"Tanoesoedibjo, Hary",Active, "",07/05/2017
"Sold tickets to Mar-a-Lago New Year’s Eve party",Donald Trump,"",Active, "",07/05/2017
"National Labor Relations Board",Donald Trump,"National Labor Relations Board",Active, "",07/05/2017
"Fundraiser for post-inauguration meeting with President and hunting trip cancelled",Donald Trump,"",Resolved, "",07/05/2017
"Trump Organization announced accords with unions at two hotels",Donald Trump,"",Resolved, "",07/05/2017
"Trump Hotel Rio de Janeiro involved in a criminal investigation in Brazil. (The Trump Organization announced it will pull the name off the hotel and will not operate it, but that action has not yet been verified.)",Donald Trump,"Trump Hotel Rio De Janeiro",Potential, "",07/05/2017
"Trump Hotel Rio de Janeiro involved in a criminal investigation in Brazil. (The Trump Organization announced it will pull the name off the hotel and will not operate it, but that action has not yet been verified.)",Donald Trump,"Trump Hotel Rio De Janeiro",Potential, "",07/05/2017
"Trump Hotel Rio de Janeiro involved in a criminal investigation in Brazil. (The Trump Organization announced it will pull the name off the hotel and will not operate it, but that action has not yet been verified.)",Donald Trump,"Trump Hotel Rio De Janeiro",Potential, "",07/05/2017
"NBC reportedly has ordered episodes of “The New Apprentice.” Variety reports Trump will retain his Executive Producer title for the show.",Donald Trump,"Nbc",Active, "",07/05/2017
"Ladder Capital, which owns at least $282 million in Trump debt, may be up for sale. A firm called Related Companies bought $80 million in Ladder stock in February 2017.",Donald Trump,"Ladder Capital",Active, "",07/05/2017
"Ladder Capital, which owns at least $282 million in Trump debt, may be up for sale. A firm called Related Companies bought $80 million in Ladder stock in February 2017.",Donald Trump,"Ladder Capital",Active, "",07/05/2017
"Trump named properties could present global security risk (per former White House ethics lawyer)",Donald Trump,"",Active, "",07/05/2017
"Huge perks for inauguration donors",Donald Trump,"(Various)",Active, "",07/05/2017
"Bahrain to hold major event at Trump’s D.C. hotel",Donald Trump,"Bahrain",Active, "",07/05/2017
"His stock portfolio (which reportedly includes shares in banks, pharma, and oil). The transition has stated the portfolio (which according to a May financial disclosure also includes Boeing) was sold in June, but has not presented evidence of that move.",Donald Trump,"",Active, "",07/05/2017
"Trademarks registered around the world",Donald Trump,"",Active, "",07/05/2017
"Trump Organization to go before planning board in Ireland over seawall for Trump International Golf Links. (Organization reportedly dropped seawall from plans.)",Donald Trump,"",Resolved, "",07/05/2017
"Trump Organization to go before planning board in Ireland over seawall for Trump International Golf Links. (Organization reportedly dropped seawall from plans.)",Donald Trump,"",Resolved, "",07/05/2017
"Long-stalled Trump Tower project in resort town in former Soviet republic of Georgia moves forward",Donald Trump,"",Active, "",07/05/2017
"Trump’s stock in oil pipeline company",Donald Trump,"",Active, "",07/05/2017
"Turkish newspapers reporting that Trump praised his Turkish business partner in a call with Turkish President Erdogan. Erdogan has reportedly arrested a businessman from Dogan, the company which works with Trump to possibly have leverage for the return of Gulen to Turkey.",Donald Trump,"",Active, "",07/05/2017
"Turkish newspapers reporting that Trump praised his Turkish business partner in a call with Turkish President Erdogan. Erdogan has reportedly arrested a businessman from Dogan, the company which works with Trump to possibly have leverage for the return of Gulen to Turkey.",Donald Trump,"",Active, "",07/05/2017
"The Donald J. Trump Foundation received $150,000 from the Victor Pinchuk Foundation and Yalta European Strategy (YES) — an NGO founded by Mr. Pinchuk — for a video speech Trump made in September 2015.",Donald Trump,"The Donald J. Trump Foundation",Active, "",07/05/2017
"Philippines appoints man building Trump Tower (licensed under the Trump name) in Manila as “special envoy.” President Duterte has said Trump expressed support for his drug war which has been criticized as an abuse of human rights.",Donald Trump,"",Active, "",07/05/2017
"Philippines appoints man building Trump Tower (licensed under the Trump name) in Manila as “special envoy.” President Duterte has said Trump expressed support for his drug war which has been criticized as an abuse of human rights.",Donald Trump,"",Active, "",07/05/2017
"Philippines appoints man building Trump Tower (licensed under the Trump name) in Manila as “special envoy.” President Duterte has said Trump expressed support for his drug war which has been criticized as an abuse of human rights.",Donald Trump,"",Active, "",07/05/2017
"Self-dealing (Using nonprofit to help self, business or family) reported in Trump Foundation 2015 Tax return posted on Guidestar.",Donald Trump,"",Active, "",07/05/2017
"Trump said to have told British politician Nigel Farage to oppose wind farm near his Scottish golf course (then lobbying in a tweet for Farage to become ambassador to the U.S.)",Donald Trump,"",Active, "",07/05/2017
"Trump said to have told British politician Nigel Farage to oppose wind farm near his Scottish golf course (then lobbying in a tweet for Farage to become ambassador to the U.S.)",Donald Trump,"",Active, "",07/05/2017
"According to the Washington Post, Donald Trump’s business empire has earned up to $10 million since 2014 for branding rights to Trump Towers Istanbul —  a luxury development owned by a Turkish oil and media conglomerate that &quot;has become an influential megaphone for the country’s increasingly repressive regime.&quot;",Donald Trump,"Trump Towers Istanbul",Active, "",07/05/2017
"Reports from Argentina newspaper La Nacion Trump asked President Mauricio Macri about a building project there.",Donald Trump,"",Potential, "",07/05/2017
"Trump has telephone call with Taiwan president where the Trump Organization reportedly is looking at building hotels. (“Beijing... regards the island as a renegade province.”)",Donald Trump,"",Active, "",07/05/2017
"Foreign diplomats at Trump Hotel in DC",Donald Trump,"",Active, "",07/05/2017
"Trump team denies they asked for security clearance for Trump children",Donald Trump,"",Potential, "",07/05/2017
"Businessmen from India meet with President-elect Trump",Donald Trump,"",Active, "",07/05/2017
"Removed lobbyists from transition team",Donald Trump,"",Resolved, "",07/05/2017
"Trump children (who will run business) on transition team. Donald Trump Jr. reportedly is involved in Secretary of Interior selection process",Donald Trump,"",Active, "",07/05/2017
"Trump children (who will run business) on transition team. Donald Trump Jr. reportedly is involved in Secretary of Interior selection process",Donald Trump,"",Active, "",07/05/2017
"Trump children (who will run business) on transition team. Donald Trump Jr. reportedly is involved in Secretary of Interior selection process",Donald Trump,"",Active, "",07/05/2017
"Russian Foreign Minister saying they were in touch with Trump campaign",Donald Trump,"",Active, "",07/05/2017
"News reports indicate that Russian investors provided a crucial source of capital in Trump-branded real estate ventures that may have otherwise foundered in Florida and Panama during the global economic downturn.",Donald Trump,"Russian Real Estate Investors",Active, "",07/05/2017
"Debt with foreign banks some now facing federal fines",Donald Trump,"",Active, "",07/05/2017
"Trump currently under audit by IRS",Donald Trump,"Internal Revenue Service",Active, "",07/05/2017
"Trump currently facing investigation by Department of Labor.",Donald Trump,"",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 1290 Avenue of the Americas, A Tenancy-In-Common. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"1290 Avenue Of The Americas, A Tenancy-In-Common",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 1290 Avenue of the Americas, A Tenancy-In-Common. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"1290 Avenue Of The Americas, A Tenancy-In-Common",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 1290 Avenue of the Americas, A Tenancy-In-Common. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"1290 Avenue Of The Americas, A Tenancy-In-Common",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 845 UN Limited Partnership. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"845 Un Limited Partnership",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 845 UN Limited Partnership. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"845 Un Limited Partnership",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in 845 UN Limited Partnership. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"845 Un Limited Partnership",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive All County Building Supply &amp; Maintenance Corp. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"All County Building Supply &Amp; Maintenance Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive All County Building Supply &amp; Maintenance Corp. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"All County Building Supply &Amp; Maintenance Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive All County Building Supply &amp; Maintenance Corp. Any current or former positions with the company have not been reported in his financial disclosures.",Donald Trump,"All County Building Supply &Amp; Maintenance Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in HWA 555 Owners, LLC. Any current or former position he may have held with the company has not been disclosed.",Donald Trump,"Hwa 555 Owners, LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in HWA 555 Owners, LLC. Any current or former position he may have held with the company has not been disclosed.",Donald Trump,"Hwa 555 Owners, LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in HWA 555 Owners, LLC. Any current or former position he may have held with the company has not been disclosed.",Donald Trump,"Hwa 555 Owners, LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Associates",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Associates",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Associates",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West PT Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Pt Associates",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West PT Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Pt Associates",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive One Central Park West PT Associates. Any position he may have or have had with the company has not been reported.",Donald Trump,"One Central Park West Pt Associates",Active, "",07/05/2017
"Former director/vice-president of the now-dormant or inactive Shore Haven Management Corp. Pres. Trump reportedly resigned his position with the company the day before his inauguration in January 2017. The company was not listed on his 2017 financial disclosure, although it was reported as dormant/inactive on his 2016 disclosure. He appeared to retain an ownership interest at the time.",Donald Trump,"Shore Haven Management Corp.",Active, "",07/05/2017
"Former director/vice-president of the now-dormant or inactive Shore Haven Management Corp. Pres. Trump reportedly resigned his position with the company the day before his inauguration in January 2017. The company was not listed on his 2017 financial disclosure, although it was reported as dormant/inactive on his 2016 disclosure. He appeared to retain an ownership interest at the time.",Donald Trump,"Shore Haven Management Corp.",Active, "",07/05/2017
"Former director/vice-president of the now-dormant or inactive Shore Haven Management Corp. Pres. Trump reportedly resigned his position with the company the day before his inauguration in January 2017. The company was not listed on his 2017 financial disclosure, although it was reported as dormant/inactive on his 2016 disclosure. He appeared to retain an ownership interest at the time.",Donald Trump,"Shore Haven Management Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Storage 106 LLC. Any current or former positions he may have with the company have not been listed on his financial disclosures.",Donald Trump,"Storage 106 LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Storage 106 LLC. Any current or former positions he may have with the company have not been listed on his financial disclosures.",Donald Trump,"Storage 106 LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Storage 106 LLC. Any current or former positions he may have with the company have not been listed on his financial disclosures.",Donald Trump,"Storage 106 LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express LLC. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"T Express LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express LLC. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"T Express LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express LLC. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"T Express LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express Manager Member Corp. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income and is part of other entity structures.",Donald Trump,"T Express Manager Member Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express Manager Member Corp. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income and is part of other entity structures.",Donald Trump,"T Express Manager Member Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in T Express Manager Member Corp. Any current or former positions he may have with the company have not been reported on his financial disclosures. The company reportedly has no independent value or income and is part of other entity structures.",Donald Trump,"T Express Manager Member Corp.",Active, "",07/05/2017
"Former member/president of Identity Theft Productions LLC (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions LLC",Potential, "",07/05/2017
"Former member/president of Identity Theft Productions LLC (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions LLC",Potential, "",07/05/2017
"Former member/president of Identity Theft Productions LLC (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions LLC",Potential, "",07/05/2017
"Former president/director of Identity Theft Productions Member Corp. (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions Member Corp.",Potential, "",07/05/2017
"Former president/director of Identity Theft Productions Member Corp. (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions Member Corp.",Potential, "",07/05/2017
"Former president/director of Identity Theft Productions Member Corp. (resigned May 1, 2014). The company&#39;s current activity status and ownership structure has not been reported.",Donald Trump,"Identity Theft Productions Member Corp.",Potential, "",07/05/2017
"Former member of Trump Identity LLC (resigned 2014). The company&#39;s current activity status and ownership structure are not disclosed.",Donald Trump,"Trump Identity",Potential, "",07/05/2017
"Former president/director of Trump Identity Member Corp. (resigned 2014). The company&#39;s current activity status and ownership structure are not disclosed.",Donald Trump,"Trump Identity Member Corp.",Potential, "",07/05/2017
"Former president/member of Trump Properties LLC (resigned 2014). Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,"Trump Properties LLC",Potential, "",07/05/2017
"Former president/member of Trump Properties LLC (resigned 2014). Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,"Trump Properties LLC",Potential, "",07/05/2017
"Former president/member of Trump Properties LLC (resigned 2014). Its ownership structure is not clear; it has not been reported on any of his financial disclosures.",Donald Trump,"Trump Properties LLC",Potential, "",07/05/2017
"Founder of the now-defunct company Trump Mortgage LLC, which folded in 2007.",Donald Trump,"Trump Mortgage LLC",Resolved, "",07/05/2017
"Founder of the now-defunct company Trump Mortgage LLC, which folded in 2007.",Donald Trump,"Trump Mortgage LLC",Resolved, "",07/05/2017
"Trump Old Post Office LLC leases the historic Old Post Office Pavilion from the federal Government Services Administration. The lease reportedly stipulates that “No ... elected official of the Government of the United States ... shall be admitted to any share or part of this Lease, or to any benefit that may arise therefrom...” However, Pres. Trump retains an ownership interest. (See also Trump Old Post Office LLC.)",Donald Trump,"General Services Administration",Active, "",07/05/2017
"Trump Old Post Office LLC leases the historic Old Post Office Pavilion from the federal Government Services Administration. The lease reportedly stipulates that “No ... elected official of the Government of the United States ... shall be admitted to any share or part of this Lease, or to any benefit that may arise therefrom...” However, Pres. Trump retains an ownership interest. (See also Trump Old Post Office LLC.)",Donald Trump,"General Services Administration",Active, "",07/05/2017
"The FBI is reportedly investigating Ivanka Trump&#39;s role in negotiating a licensing and marketing deal with the developer of a Trump-branded hotel in Vancouver.",Ivanka Trump,"Trump International Hotel And Tower (Vancouver)",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $184 million loan from Apollo Global Management to refinance the mortgage on a Chicago skyscraper. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Apollo Global Management",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $184 million loan from Apollo Global Management to refinance the mortgage on a Chicago skyscraper. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Apollo Global Management",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $184 million loan from Apollo Global Management to refinance the mortgage on a Chicago skyscraper. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Apollo Global Management",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $325 million loan from Citigroup to help finance developments in Brooklyn. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Citigroup",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $325 million loan from Citigroup to help finance developments in Brooklyn. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Citigroup",Active, "",03/09/2018
"Jared Kushner&#39;s family business, Kushner Companies, recieved a $325 million loan from Citigroup to help finance developments in Brooklyn. The deal was sealed shortly after Kushner — who is ostensibly disconnected from his family&#39;s business — met with company officials in his role as a senior presidential adviser.",Jared Kushner,"Citigroup",Active, "",03/09/2018
"On a trip to India to promote Trump Organization real estate, Donald Trump, Jr., also planned to share a stage with Indian Prime Minister Narendra Modi and give a speech to business leaders about Indo-Pacific relations.",Donald Trump Jr.,"Trump Organization",Active, "",03/09/2018
"On a trip to India to promote Trump Organization real estate, Donald Trump, Jr., also planned to share a stage with Indian Prime Minister Narendra Modi and give a speech to business leaders about Indo-Pacific relations.",Donald Trump Jr.,"Trump Organization",Active, "",03/09/2018
"On a trip to India to promote Trump Organization real estate, Donald Trump, Jr., also planned to share a stage with Indian Prime Minister Narendra Modi and give a speech to business leaders about Indo-Pacific relations.",Donald Trump Jr.,"Trump Organization",Active, "",03/09/2018
"Jared Kushner received $201 - $1,000 in Interest Capital Gains income from Claremount IV Associates LP (Financial Investments; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Claremount Iv Associates Lp (Financial Investments; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $100,001 - $1,000,000 in Capital Gains Interest income from Kushner Media Ventures, LLC (Financial investments in Thrive Capital Partners, LLC; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Kushner Media Ventures, LLC (Financial Investments In Thrive Capital Partners, LLC; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from ALABAMA ST PUBLIC SCH &amp; CLG AUTH CAP IMPT, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Alabama St Public Sch &Amp; Clg Auth Cap Impt, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from BOSTON MA, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Boston Ma, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from CALIFORNIA ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"California St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Interest income from CISCO SYS INC SR NT, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Cisco Sys Inc Sr Nt, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $201 - $1,000 in Interest income from CNA FINL CORP, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Cna Finl Corp, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from ECOLAB INC, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Ecolab Inc, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from FORD MTR CR CO NT, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Ford Mtr Cr Co Nt, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from GEORGIA ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Georgia St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from GOLDMAN SACHS GROUP INC SR GLOBAL NT, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Goldman Sachs Group Inc Sr Global Nt, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from GREENBURGH NY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Greenburgh NY, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from JP MORGAN CHASE &amp; CO, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Jp Morgan Chase &Amp; Co, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $15,001 - $50,000 in Capital Gains Interest income from LW Investors, LLC (Financial investments in Leeds Equity Partners IV, LP; New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Lw Investors, LLC (Financial Investments In Leeds Equity Partners Iv, Lp; New York, NY)",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from MARYLAND ST DEPT TRANSN, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Maryland St Dept Transn, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from MASSACHUSETTS ST WTR POLLUTN, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Massachusetts St Wtr Pollutn, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from MECKLENBERG CNTY NC, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Mecklenberg Cnty Nc, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from MORGAN STANLEY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Morgan Stanley, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from NASSAU CNTY NY INTERIM FIN AUTH RFDG SALES TAX SECURED SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Nassau Cnty NY Interim Fin Auth Rfdg Sales Tax Secured Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from NEW YORK ST THRUWAY AUTH 2ND GEN HIGHWAY &amp; BRIDGE TRUST FUND SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"New York St Thruway Auth 2Nd Gen Highway &Amp; Bridge Trust Fund Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $5,001 - $15,000 in Interest income from NEW YORK ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"New York St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from NEW YORK ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"New York St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from NEW YORK ST, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"New York St, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from ONONDAGA CNTY NY, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Onondaga Cnty NY, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $2,501 - $5,000 in Interest income from OREGON ST DEPT OF TRANSPRTN HIGHWAY USER TAX REVENUE SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Oregon St Dept Of Transprtn Highway User Tax Revenue Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest Capital Gains income from UNIV OF TEXAS TX PERMANENT UNIV FND SER B, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Univ Of Texas Tx Permanent Univ Fnd Ser B, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from UTAH ST RFDG SER C, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Utah St Rfdg Ser C, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Jared Kushner received $1,001 - $2,500 in Interest income from UTAH ST SER A, bonds the year before his appointment as Pres. Trump&#39;s senior adviser.",Jared Kushner,"Utah St Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
